date,year,fishery_status,orcas_sighted
1-Jul,2021,open,yes
2-Jul,2021,open,yes
3-Jul,2021,open,no
4-Jul,2021,open,no
5-Jul,2021,open,no
6-Jul,2021,open,no
7-Jul,2021,open,no
8-Jul,2021,closed,no
9-Jul,2021,closed,no
10-Jul,2021,closed,no
11-Jul,2021,closed,no
12-Jul,2021,closed,no
13-Jul,2021,closed,no
14-Jul,2021,closed,no
15-Jul,2021,closed,no
16-Jul,2021,closed,no
17-Jul,2021,closed,no
18-Jul,2021,closed,no
19-Jul,2021,closed,no
20-Jul,2021,closed,no
21-Jul,2021,closed,no
22-Jul,2021,closed,no
23-Jul,2021,closed,no
24-Jul,2021,closed,no
25-Jul,2021,closed,no
26-Jul,2021,closed,no
27-Jul,2021,closed,yes
28-Jul,2021,closed,no
29-Jul,2021,closed,no
30-Jul,2021,closed,no
31-Jul,2021,closed,no
1-Jul,2022,closed,no
2-Jul,2022,closed,no
3-Jul,2022,closed,no
4-Jul,2022,closed,no
5-Jul,2022,closed,no
6-Jul,2022,closed,no
7-Jul,2022,closed,no
8-Jul,2022,closed,no
9-Jul,2022,closed,yes
10-Jul,2022,closed,yes
11-Jul,2022,closed,yes
12-Jul,2022,closed,yes
13-Jul,2022,open,yes
14-Jul,2022,open,no
15-Jul,2022,open,no
16-Jul,2022,closed,no
17-Jul,2022,closed,no
18-Jul,2022,closed,no
19-Jul,2022,closed,no
20-Jul,2022,closed,no
21-Jul,2022,open,no
22-Jul,2022,open,yes
23-Jul,2022,open,yes
24-Jul,2022,closed,yes
25-Jul,2022,closed,yes
26-Jul,2022,closed,yes
27-Jul,2022,closed,yes
28-Jul,2022,open,yes
29-Jul,2022,open,yes
30-Jul,2022,open,yes
31-Jul,2022,closed,no
1-Jul,2020,open,yes
2-Jul,2020,open,yes
3-Jul,2020,open,yes
4-Jul,2020,open,yes
5-Jul,2020,open,yes
6-Jul,2020,open,yes
7-Jul,2020,open,yes
8-Jul,2020,open,yes
9-Jul,2020,open,yes
10-Jul,2020,open,yes
11-Jul,2020,open,yes
12-Jul,2020,open,yes
13-Jul,2020,open,yes
14-Jul,2020,open,yes
15-Jul,2020,open,yes
16-Jul,2020,open,no
17-Jul,2020,open,yes
18-Jul,2020,open,yes
19-Jul,2020,open,no
20-Jul,2020,open,no
21-Jul,2020,open,no
22-Jul,2020,open,no
23-Jul,2020,open,no
24-Jul,2020,open,yes
25-Jul,2020,open,yes
26-Jul,2020,open,no
27-Jul,2020,open,no
28-Jul,2020,open,yes
29-Jul,2020,open,no
30-Jul,2020,open,no
31-Jul,2020,open,no
1-Aug,2020,closed,no
2-Aug,2020,closed,no
3-Aug,2020,closed,no
4-Aug,2020,closed,no
5-Aug,2020,closed,no
6-Aug,2020,closed,no
7-Aug,2020,closed,yes
8-Aug,2020,closed,no
9-Aug,2020,closed,no
10-Aug,2020,closed,no
11-Aug,2020,closed,no
12-Aug,2020,closed,no
13-Aug,2020,closed,no
14-Aug,2020,closed,no
15-Aug,2020,closed,no
16-Aug,2020,closed,yes
17-Aug,2020,closed,yes
18-Aug,2020,closed,yes
19-Aug,2020,closed,yes
20-Aug,2020,closed,no
21-Aug,2020,closed,yes
22-Aug,2020,open,no
23-Aug,2020,open,no
24-Aug,2020,open,yes
25-Aug,2020,open,no
26-Aug,2020,open,no
27-Aug,2020,open,no
28-Aug,2020,open,no
29-Aug,2020,open,no
30-Aug,2020,open,yes
31-Aug,2020,open,no
1-Jul,2023,closed,yes
2-Jul,2023,closed,yes
3-Jul,2023,closed,yes
4-Jul,2023,closed,yes
5-Jul,2023,closed,no
6-Jul,2023,closed,no
7-Jul,2023,closed,no
8-Jul,2023,closed,no
9-Jul,2023,closed,no
10-Jul,2023,closed,no
11-Jul,2023,closed,no
12-Jul,2023,closed,no
13-Jul,2023,open,no
14-Jul,2023,open,no
15-Jul,2023,open,no
16-Jul,2023,closed,no
17-Jul,2023,closed,no
18-Jul,2023,closed,no
19-Jul,2023,closed,no
20-Jul,2023,closed,no
21-Jul,2023,open,no
22-Jul,2023,closed,no
23-Jul,2023,closed,no
24-Jul,2023,closed,no
25-Jul,2023,closed,no
26-Jul,2023,closed,no
27-Jul,2023,closed,no
28-Jul,2023,open,no
29-Jul,2023,open,no
30-Jul,2023,closed,no
31-Jul,2023,closed,no
1-Aug,2023,closed,no
2-Aug,2023,closed,no
3-Aug,2023,closed,no
4-Aug,2023,closed,no
5-Aug,2023,closed,no
6-Aug,2023,closed,no
7-Aug,2023,closed,no
8-Aug,2023,closed,no
9-Aug,2023,closed,yes
10-Aug,2023,closed,no
11-Aug,2023,closed,no
12-Aug,2023,closed,no
13-Aug,2023,closed,no
14-Aug,2023,closed,no
15-Aug,2023,closed,no
16-Aug,2023,closed,no
17-Aug,2023,closed,yes
18-Aug,2023,closed,yes
19-Aug,2023,closed,yes
20-Aug,2023,closed,yes
21-Aug,2023,closed,yes
22-Aug,2023,closed,no
23-Aug,2023,closed,no
24-Aug,2023,closed,no
25-Aug,2023,closed,no
26-Aug,2023,closed,no
27-Aug,2023,closed,no
28-Aug,2023,closed,no
29-Aug,2023,closed,no
30-Aug,2023,closed,no
31-Aug,2023,closed,no
